Month,State,District,Update_Type,Gender,Date,Count
2023-01,Karnataka,Dakshina Kannada,Name,Male,2023-01-092023-01-24,2
2023-01,Karnataka,Kalaburagi,Address,Male,2023-01-312023-01-312023-01-06,3
2023-01,Karnataka,Kalaburagi,Biometric,Female,2023-01-12,1
2023-01,Karnataka,Kalaburagi,DOB,Female,2023-01-30,1
2023-01,Karnataka,Kalaburagi,Mobile,Female,2023-01-012023-01-01,2
2023-01,Karnataka,Kalaburagi,Mobile,Male,2023-01-172023-01-172023-01-24,3
2023-01,Karnataka,Kalaburagi,Name,Female,2023-01-05,1
2023-01,Karnataka,Mysore,Address,Female,2023-01-012023-01-03,2
2023-01,Karnataka,Mysore,DOB,Male,2023-01-03,1
2023-01,Karnataka,Mysore,Mobile,Female,2023-01-242023-01-212023-01-26,3
2023-01,Karnataka,Mysore,Mobile,Male,2023-01-20,1
2023-01,Kerala,Ernakulam,Address,Female,2023-01-13,1
2023-01,Kerala,Ernakulam,Biometric,Female,2023-01-22,1
2023-01,Kerala,Ernakulam,Biometric,Male,2023-01-092023-01-14,2
2023-01,Kerala,Ernakulam,DOB,Female,2023-01-16,1
2023-01,Kerala,Ernakulam,Mobile,Female,2023-01-242023-01-162023-01-12,3
2023-01,Kerala,Ernakulam,Mobile,Male,2023-01-212023-01-17,2
2023-01,Kerala,Kozhikode,Biometric,Female,2023-01-10,1
2023-01,Kerala,Kozhikode,Biometric,Male,2023-01-082023-01-222023-01-15,3
2023-01,Kerala,Kozhikode,DOB,Female,2023-01-22,1
2023-01,Kerala,Kozhikode,Mobile,Female,2023-01-162023-01-052023-01-202023-01-282023-01-09,5
2023-01,Kerala,Kozhikode,Mobile,Male,2023-01-122023-01-04,2
2023-01,Kerala,Malappuram,Address,Female,2023-01-052023-01-25,2
2023-01,Kerala,Malappuram,Biometric,Female,2023-01-27,1
2023-01,Kerala,Malappuram,DOB,Male,2023-01-18,1
2023-01,Kerala,Malappuram,Mobile,Female,2023-01-042023-01-06,2
2023-01,Kerala,Malappuram,Mobile,Male,2023-01-042023-01-092023-01-182023-01-13,4
2023-01,Kerala,Thiruvananthapuram,Address,Female,2023-01-24,1
2023-01,Kerala,Thiruvananthapuram,Address,Male,2023-01-262023-01-162023-01-01,3
2023-01,Kerala,Thiruvananthapuram,Biometric,Female,2023-01-09,1
2023-01,Kerala,Thiruvananthapuram,Biometric,Male,2023-01-24,1
2023-01,Kerala,Thiruvananthapuram,DOB,Female,2023-01-16,1
2023-01,Kerala,Thiruvananthapuram,Mobile,Female,2023-01-06,1
2023-01,Kerala,Thiruvananthapuram,Mobile,Male,2023-01-022023-01-072023-01-192023-01-27,4
2023-01,Kerala,Thrissur,Address,Female,2023-01-05,1
2023-01,Kerala,Thrissur,Biometric,Female,2023-01-112023-01-282023-01-142023-01-082023-01-09,5
2023-01,Kerala,Thrissur,Mobile,Female,2023-01-182023-01-15,2
2023-01,Kerala,Thrissur,Mobile,Male,2023-01-152023-01-112023-01-25,3
2023-01,Kerala,Thrissur,Name,Male,2023-01-06,1
2023-01,Maharashtra,Mumbai,Address,Female,2023-01-14,1
2023-01,Maharashtra,Mumbai,Address,Male,2023-01-152023-01-042023-01-082023-01-31,4
2023-01,Maharashtra,Mumbai,Biometric,Female,2023-01-03,1
2023-01,Maharashtra,Mumbai,Mobile,Female,2023-01-082023-01-25,2
2023-01,Maharashtra,Nagpur,Address,Female,2023-01-262023-01-012023-01-022023-01-192023-01-25,5
2023-01,Maharashtra,Nagpur,Address,Male,2023-01-122023-01-142023-01-27,3
2023-01,Maharashtra,Nagpur,Biometric,Female,2023-01-15,1
2023-01,Maharashtra,Nagpur,Biometric,Male,2023-01-192023-01-30,2
2023-01,Maharashtra,Nagpur,Mobile,Female,2023-01-242023-01-122023-01-052023-01-19,4
2023-01,Maharashtra,Nagpur,Mobile,Male,2023-01-21,1
2023-01,Maharashtra,Nashik,Address,Female,2023-01-032023-01-052023-01-082023-01-18,4
2023-01,Maharashtra,Nashik,Address,Male,2023-01-012023-01-042023-01-21,3
2023-01,Maharashtra,Nashik,Biometric,Female,2023-01-18,1
2023-01,Maharashtra,Nashik,Biometric,Male,2023-01-122023-01-12,2
2023-01,Maharashtra,Nashik,DOB,Female,2023-01-29,1
2023-01,Maharashtra,Nashik,Mobile,Female,2023-01-02,1
2023-01,Maharashtra,Nashik,Mobile,Male,2023-01-182023-01-18,2
2023-01,Maharashtra,Pune,Address,Female,2023-01-062023-01-24,2
2023-01,Maharashtra,Pune,Address,Male,2023-01-022023-01-06,2
2023-01,Maharashtra,Pune,Biometric,Female,2023-01-07,1
2023-01,Maharashtra,Pune,Biometric,Male,2023-01-15,1
2023-01,Maharashtra,Pune,DOB,Male,2023-01-19,1
2023-01,Maharashtra,Pune,Mobile,Female,2023-01-262023-01-132023-01-17,3
2023-01,Maharashtra,Pune,Mobile,Male,2023-01-202023-01-12,2
2023-01,Maharashtra,Pune,Name,Male,2023-01-14,1
2023-01,Maharashtra,Thane,Address,Male,2023-01-27,1
2023-01,Maharashtra,Thane,Biometric,Female,2023-01-07,1
2023-01,Maharashtra,Thane,DOB,Female,2023-01-29,1
2023-01,Maharashtra,Thane,Mobile,Female,2023-01-182023-01-01,2
2023-01,Maharashtra,Thane,Mobile,Male,2023-01-312023-01-22,2
2023-01,Uttar Pradesh,Gautam Buddha Nagar,Address,Female,2023-01-03,1
2023-01,Uttar Pradesh,Gautam Buddha Nagar,Address,Male,2023-01-212023-01-07,2
2023-01,Uttar Pradesh,Gautam Buddha Nagar,Biometric,Female,2023-01-202023-01-23,2
2023-01,Uttar Pradesh,Gautam Buddha Nagar,Biometric,Male,2023-01-15,1
2023-01,Uttar Pradesh,Gautam Buddha Nagar,DOB,Male,2023-01-18,1
2023-01,Uttar Pradesh,Gautam Buddha Nagar,Mobile,Female,2023-01-132023-01-31,2
2023-01,Uttar Pradesh,Gautam Buddha Nagar,Mobile,Male,2023-01-202023-01-20,2
2023-01,Uttar Pradesh,Gautam Buddha Nagar,Name,Female,2023-01-11,1
2023-01,Uttar Pradesh,Kanpur,Address,Female,2023-01-26,1
2023-01,Uttar Pradesh,Kanpur,Biometric,Female,2023-01-31,1
2023-01,Uttar Pradesh,Kanpur,Mobile,Female,2023-01-312023-01-27,2
2023-01,Uttar Pradesh,Lucknow,Address,Female,2023-01-072023-01-122023-01-31,3
2023-01,Uttar Pradesh,Lucknow,Address,Male,2023-01-052023-01-182023-01-272023-01-17,4
2023-01,Uttar Pradesh,Lucknow,Biometric,Male,2023-01-132023-01-12,2
2023-01,Uttar Pradesh,Lucknow,Mobile,Female,2023-01-132023-01-21,2
2023-01,Uttar Pradesh,Lucknow,Mobile,Male,2023-01-092023-01-09,2
2023-01,Uttar Pradesh,Lucknow,Name,Female,2023-01-22,1
2023-01,Uttar Pradesh,Prayagraj,Address,Female,2023-01-132023-01-22,2
2023-01,Uttar Pradesh,Prayagraj,Address,Male,2023-01-25,1
2023-01,Uttar Pradesh,Prayagraj,Biometric,Female,2023-01-03,1
2023-01,Uttar Pradesh,Prayagraj,Biometric,Male,2023-01-23,1
2023-01,Uttar Pradesh,Prayagraj,Mobile,Female,2023-01-022023-01-222023-01-22,3
2023-01,Uttar Pradesh,Prayagraj,Mobile,Male,2023-01-232023-01-31,2
2023-01,Uttar Pradesh,Prayagraj,Name,Female,2023-01-20,1
2023-01,Uttar Pradesh,Varanasi,Address,Female,2023-01-192023-01-042023-01-11,3
2023-01,Uttar Pradesh,Varanasi,Address,Male,2023-01-072023-01-162023-01-242023-01-26,4
2023-01,Uttar Pradesh,Varanasi,Biometric,Female,2023-01-07,1
2023-01,Uttar Pradesh,Varanasi,Biometric,Male,2023-01-04,1
2023-01,Uttar Pradesh,Varanasi,DOB,Male,2023-01-22,1
2023-01,Uttar Pradesh,Varanasi,Mobile,Female,2023-01-192023-01-31,2
2023-01,Uttar Pradesh,Varanasi,Mobile,Male,2023-01-30,1
2023-02,Bihar,Darbhanga,Address,Female,2023-02-052023-02-282023-02-24,3
2023-02,Bihar,Darbhanga,Address,Male,2023-02-202023-02-282023-02-20,3
2023-02,Bihar,Darbhanga,Biometric,Male,2023-02-142023-02-21,2
2023-02,Bihar,Darbhanga,Mobile,Female,2023-02-042023-02-24,2
2023-02,Bihar,Darbhanga,Mobile,Male,2023-02-14,1
2023-02,Bihar,Darbhanga,Name,Female,2023-02-132023-02-19,2
2023-02,Bihar,Gaya,Address,Male,2023-02-122023-02-272023-02-11,3
2023-02,Bihar,Gaya,Biometric,Female,2023-02-20,1
2023-02,Bihar,Gaya,Biometric,Male,2023-02-23,1
2023-02,Bihar,Gaya,DOB,Female,2023-02-07,1
2023-02,Bihar,Gaya,DOB,Male,2023-02-23,1
2023-02,Bihar,Gaya,Mobile,Female,2023-02-242023-02-142023-02-132023-02-24,4
2023-02,Bihar,Gaya,Mobile,Male,2023-02-282023-02-11,2
2023-02,Bihar,Muzaffarpur,Address,Female,2023-02-23,1
2023-02,Bihar,Muzaffarpur,Biometric,Female,2023-02-12,1
2023-02,Bihar,Muzaffarpur,Mobile,Female,2023-02-272023-02-142023-02-072023-02-28,4
2023-02,Bihar,Muzaffarpur,Mobile,Male,2023-02-202023-02-172023-02-012023-02-25,4
2023-02,Bihar,Muzaffarpur,Name,Male,2023-02-16,1
2023-02,Bihar,Patna,Address,Female,2023-02-28,1
2023-02,Bihar,Patna,Address,Male,2023-02-15,1
2023-02,Bihar,Patna,Biometric,Female,2023-02-072023-02-27,2
2023-02,Bihar,Patna,Biometric,Male,2023-02-18,1
2023-02,Bihar,Patna,Mobile,Female,2023-02-062023-02-14,2
2023-02,Bihar,Patna,Mobile,Male,2023-02-122023-02-142023-02-26,3
2023-02,Bihar,Purnia,Address,Female,2023-02-14,1
2023-02,Bihar,Purnia,Address,Male,2023-02-28,1
2023-02,Bihar,Purnia,Biometric,Female,2023-02-03,1
2023-02,Bihar,Purnia,Mobile,Female,2023-02-22,1
2023-02,Bihar,Purnia,Mobile,Male,2023-02-04,1
2023-02,Karnataka,Bangalore Urban,Address,Male,2023-02-252023-02-262023-02-13,3
2023-02,Karnataka,Bangalore Urban,Biometric,Male,2023-02-13,1
2023-02,Karnataka,Bangalore Urban,Name,Female,2023-02-092023-02-15,2
2023-02,Karnataka,Belgaum,Address,Female,2023-02-15,1
2023-02,Karnataka,Belgaum,Address,Male,2023-02-08,1
2023-02,Karnataka,Belgaum,Biometric,Male,2023-02-252023-02-12,2
2023-02,Karnataka,Belgaum,DOB,Male,2023-02-08,1
2023-02,Karnataka,Belgaum,Mobile,Female,2023-02-212023-02-112023-02-11,3
2023-02,Karnataka,Belgaum,Name,Male,2023-02-16,1
2023-02,Karnataka,Dakshina Kannada,Address,Female,2023-02-212023-02-09,2
2023-02,Karnataka,Dakshina Kannada,Address,Male,2023-02-062023-02-242023-02-11,3
2023-02,Karnataka,Dakshina Kannada,Biometric,Female,2023-02-20,1
2023-02,Karnataka,Dakshina Kannada,Biometric,Male,2023-02-14,1
2023-02,Karnataka,Dakshina Kannada,Mobile,Female,2023-02-072023-02-122023-02-09,3
2023-02,Karnataka,Dakshina Kannada,Mobile,Male,2023-02-222023-02-272023-02-14,3
2023-02,Karnataka,Dakshina Kannada,Name,Male,2023-02-19,1
2023-02,Karnataka,Kalaburagi,Address,Female,2023-02-132023-02-092023-02-042023-02-16,4
2023-02,Karnataka,Kalaburagi,Address,Male,2023-02-12,1
2023-02,Karnataka,Kalaburagi,Biometric,Female,2023-02-012023-02-25,2
2023-02,Karnataka,Kalaburagi,Biometric,Male,2023-02-222023-02-142023-02-05,3
2023-02,Karnataka,Kalaburagi,DOB,Male,2023-02-24,1
2023-02,Karnataka,Kalaburagi,Mobile,Female,2023-02-042023-02-25,2
2023-02,Karnataka,Kalaburagi,Mobile,Male,2023-02-222023-02-26,2
2023-02,Karnataka,Mysore,Address,Female,2023-02-242023-02-032023-02-172023-02-03,4
2023-02,Karnataka,Mysore,Address,Male,2023-02-22,1
2023-02,Karnataka,Mysore,Biometric,Female,2023-02-04,1
2023-02,Karnataka,Mysore,DOB,Male,2023-02-22,1
2023-02,Karnataka,Mysore,Mobile,Female,2023-02-16,1
2023-02,Karnataka,Mysore,Mobile,Male,2023-02-092023-02-212023-02-072023-02-24,4
2023-02,Karnataka,Mysore,Name,Female,2023-02-09,1
2023-02,Kerala,Ernakulam,Address,Female,2023-02-03,1
2023-02,Kerala,Ernakulam,Address,Male,2023-02-02,1
2023-02,Kerala,Ernakulam,Biometric,Male,2023-02-202023-02-20,2
2023-02,Kerala,Ernakulam,Mobile,Female,2023-02-282023-02-16,2
2023-02,Kerala,Ernakulam,Mobile,Male,2023-02-14,1
2023-02,Kerala,Kozhikode,Address,Male,2023-02-142023-02-01,2
2023-02,Kerala,Kozhikode,Biometric,Male,2023-02-23,1
2023-02,Kerala,Kozhikode,Mobile,Female,2023-02-262023-02-162023-02-14,3
2023-02,Kerala,Kozhikode,Mobile,Male,2023-02-09,1
2023-02,Kerala,Malappuram,Address,Male,2023-02-082023-02-012023-02-08,3
2023-02,Kerala,Malappuram,Biometric,Female,2023-02-25,1
2023-02,Kerala,Malappuram,Biometric,Male,2023-02-01,1
2023-02,Kerala,Malappuram,Mobile,Female,2023-02-092023-02-282023-02-13,3
2023-02,Kerala,Malappuram,Mobile,Male,2023-02-162023-02-062023-02-252023-02-052023-02-182023-02-04,6
2023-02,Kerala,Malappuram,Name,Male,2023-02-04,1
2023-02,Kerala,Thiruvananthapuram,Address,Female,2023-02-082023-02-212023-02-232023-02-11,4
2023-02,Kerala,Thiruvananthapuram,Biometric,Male,2023-02-28,1
2023-02,Kerala,Thiruvananthapuram,Mobile,Female,2023-02-18,1
2023-02,Kerala,Thiruvananthapuram,Mobile,Male,2023-02-232023-02-232023-02-03,3
2023-02,Kerala,Thrissur,Address,Female,2023-02-08,1
2023-02,Kerala,Thrissur,Address,Male,2023-02-14,1
2023-02,Kerala,Thrissur,Biometric,Female,2023-02-06,1
2023-02,Kerala,Thrissur,Biometric,Male,2023-02-16,1
2023-02,Kerala,Thrissur,Mobile,Female,2023-02-112023-02-232023-02-15,3
2023-02,Kerala,Thrissur,Mobile,Male,2023-02-102023-02-07,2
2023-02,Maharashtra,Mumbai,Address,Female,2023-02-22,1
2023-02,Maharashtra,Mumbai,Address,Male,2023-02-052023-02-152023-02-262023-02-21,4
2023-02,Maharashtra,Mumbai,Biometric,Female,2023-02-072023-02-23,2
2023-02,Maharashtra,Mumbai,Biometric,Male,2023-02-082023-02-12,2
2023-02,Maharashtra,Mumbai,DOB,Female,2023-02-08,1
2023-02,Maharashtra,Mumbai,Mobile,Female,2023-02-132023-02-062023-02-192023-02-20,4
2023-02,Maharashtra,Mumbai,Mobile,Male,2023-02-162023-02-16,2
2023-02,Maharashtra,Mumbai,Name,Female,2023-02-14,1
2023-02,Maharashtra,Nagpur,Address,Female,2023-02-182023-02-10,2
2023-02,Maharashtra,Nagpur,Address,Male,2023-02-28,1
2023-02,Maharashtra,Nagpur,Biometric,Female,2023-02-07,1
2023-02,Maharashtra,Nagpur,Biometric,Male,2023-02-11,1
2023-02,Maharashtra,Nagpur,DOB,Male,2023-02-04,1
2023-02,Maharashtra,Nagpur,Mobile,Female,2023-02-142023-02-262023-02-052023-02-06,4
2023-02,Maharashtra,Nagpur,Mobile,Male,2023-02-162023-02-252023-02-272023-02-11,4
2023-02,Maharashtra,Nashik,Address,Male,2023-02-24,1
2023-02,Maharashtra,Nashik,Biometric,Female,2023-02-07,1
2023-02,Maharashtra,Nashik,Mobile,Female,2023-02-142023-02-15,2
2023-02,Maharashtra,Nashik,Mobile,Male,2023-02-082023-02-03,2
2023-02,Maharashtra,Pune,Address,Female,2023-02-14,1
2023-02,Maharashtra,Pune,Address,Male,2023-02-102023-02-06,2
2023-02,Maharashtra,Pune,Biometric,Male,2023-02-04,1
2023-02,Maharashtra,Pune,Mobile,Female,2023-02-25,1
2023-02,Maharashtra,Pune,Mobile,Male,2023-02-232023-02-122023-02-252023-02-092023-02-12,5
2023-02,Maharashtra,Pune,Name,Male,2023-02-072023-02-16,2
2023-02,Maharashtra,Thane,Address,Female,2023-02-022023-02-092023-02-01,3
2023-02,Maharashtra,Thane,Address,Male,2023-02-09,1
2023-02,Maharashtra,Thane,Mobile,Female,2023-02-14,1
2023-02,Maharashtra,Thane,Mobile,Male,2023-02-272023-02-082023-02-18,3
2023-02,Uttar Pradesh,Gautam Buddha Nagar,Address,Female,2023-02-012023-02-042023-02-12,3
2023-02,Uttar Pradesh,Gautam Buddha Nagar,Address,Male,2023-02-042023-02-15,2
2023-02,Uttar Pradesh,Gautam Buddha Nagar,Biometric,Female,2023-02-192023-02-01,2
2023-02,Uttar Pradesh,Gautam Buddha Nagar,Biometric,Male,2023-02-04,1
2023-02,Uttar Pradesh,Gautam Buddha Nagar,DOB,Female,2023-02-28,1
2023-02,Uttar Pradesh,Gautam Buddha Nagar,Mobile,Female,2023-02-062023-02-012023-02-01,3
2023-02,Uttar Pradesh,Kanpur,Address,Male,2023-02-082023-02-15,2
2023-02,Uttar Pradesh,Kanpur,DOB,Female,2023-02-23,1
2023-02,Uttar Pradesh,Kanpur,Mobile,Female,2023-02-162023-02-20,2
2023-02,Uttar Pradesh,Kanpur,Mobile,Male,2023-02-022023-02-272023-02-22,3
2023-02,Uttar Pradesh,Lucknow,Address,Female,2023-02-04,1
2023-02,Uttar Pradesh,Lucknow,Address,Male,2023-02-172023-02-08,2
2023-02,Uttar Pradesh,Lucknow,Biometric,Male,2023-02-282023-02-052023-02-13,3
2023-02,Uttar Pradesh,Lucknow,Mobile,Female,2023-02-142023-02-242023-02-13,3
2023-02,Uttar Pradesh,Lucknow,Name,Male,2023-02-13,1
2023-02,Uttar Pradesh,Prayagraj,Address,Female,2023-02-042023-02-282023-02-19,3
2023-02,Uttar Pradesh,Prayagraj,Biometric,Female,2023-02-20,1
2023-02,Uttar Pradesh,Prayagraj,DOB,Female,2023-02-13,1
2023-02,Uttar Pradesh,Prayagraj,Mobile,Male,2023-02-102023-02-052023-02-082023-02-272023-02-15,5
2023-02,Uttar Pradesh,Prayagraj,Name,Male,2023-02-192023-02-162023-02-15,3
2023-02,Uttar Pradesh,Varanasi,Address,Female,2023-02-272023-02-032023-02-042023-02-26,4
2023-02,Uttar Pradesh,Varanasi,Address,Male,2023-02-282023-02-012023-02-24,3
2023-02,Uttar Pradesh,Varanasi,Mobile,Female,2023-02-042023-02-032023-02-23,3
2023-02,Uttar Pradesh,Varanasi,Mobile,Male,2023-02-02,1
2023-03,Bihar,Darbhanga,Address,Female,2023-03-09,1
2023-03,Bihar,Darbhanga,Address,Male,2023-03-142023-03-182023-03-042023-03-17,4
2023-03,Bihar,Darbhanga,Biometric,Female,2023-03-17,1
2023-03,Bihar,Darbhanga,Biometric,Male,2023-03-01,1
2023-03,Bihar,Darbhanga,Mobile,Female,2023-03-112023-03-25,2
2023-03,Bihar,Darbhanga,Mobile,Male,2023-03-04,1
2023-03,Bihar,Gaya,Address,Male,2023-03-10,1
2023-03,Bihar,Gaya,Biometric,Female,2023-03-232023-03-05,2
2023-03,Bihar,Gaya,Biometric,Male,2023-03-262023-03-30,2
2023-03,Bihar,Gaya,Mobile,Female,2023-03-11,1
2023-03,Bihar,Gaya,Mobile,Male,2023-03-242023-03-18,2
2023-03,Bihar,Gaya,Name,Female,2023-03-19,1
2023-03,Bihar,Muzaffarpur,Address,Male,2023-03-262023-03-082023-03-02,3
2023-03,Bihar,Muzaffarpur,Biometric,Female,2023-03-142023-03-28,2
2023-03,Bihar,Muzaffarpur,Biometric,Male,2023-03-21,1
2023-03,Bihar,Muzaffarpur,Mobile,Female,2023-03-232023-03-182023-03-162023-03-02,4
2023-03,Bihar,Muzaffarpur,Mobile,Male,2023-03-242023-03-08,2
2023-03,Bihar,Patna,Address,Female,2023-03-032023-03-092023-03-14,3
2023-03,Bihar,Patna,Biometric,Female,2023-03-30,1
2023-03,Bihar,Patna,Biometric,Male,2023-03-25,1
2023-03,Bihar,Patna,Mobile,Female,2023-03-172023-03-102023-03-282023-03-14,4
2023-03,Bihar,Patna,Mobile,Male,2023-03-042023-03-052023-03-282023-03-28,4
2023-03,Bihar,Purnia,Address,Female,2023-03-182023-03-18,2
2023-03,Bihar,Purnia,Address,Male,2023-03-272023-03-162023-03-31,3
2023-03,Bihar,Purnia,Biometric,Female,2023-03-052023-03-16,2
2023-03,Bihar,Purnia,Biometric,Male,2023-03-112023-03-21,2
2023-03,Bihar,Purnia,Mobile,Female,2023-03-152023-03-03,2
2023-03,Karnataka,Bangalore Urban,Address,Male,2023-03-06,1
2023-03,Karnataka,Bangalore Urban,Biometric,Female,2023-03-092023-03-10,2
2023-03,Karnataka,Bangalore Urban,Biometric,Male,2023-03-312023-03-14,2
2023-03,Karnataka,Bangalore Urban,DOB,Female,2023-03-09,1
2023-03,Karnataka,Bangalore Urban,DOB,Male,2023-03-28,1
2023-03,Karnataka,Bangalore Urban,Mobile,Female,2023-03-202023-03-312023-03-302023-03-122023-03-02,5
2023-03,Karnataka,Bangalore Urban,Mobile,Male,2023-03-202023-03-092023-03-07,3
2023-03,Karnataka,Belgaum,Address,Female,2023-03-102023-03-06,2
2023-03,Karnataka,Belgaum,Address,Male,2023-03-062023-03-01,2
2023-03,Karnataka,Belgaum,Biometric,Female,2023-03-052023-03-162023-03-29,3
2023-03,Karnataka,Belgaum,Biometric,Male,2023-03-22,1
2023-03,Karnataka,Belgaum,Mobile,Female,2023-03-232023-03-02,2
2023-03,Karnataka,Belgaum,Mobile,Male,2023-03-122023-03-092023-03-26,3
2023-03,Karnataka,Belgaum,Name,Female,2023-03-012023-03-07,2
2023-03,Karnataka,Dakshina Kannada,Address,Female,2023-03-142023-03-222023-03-172023-03-23,4
2023-03,Karnataka,Dakshina Kannada,Address,Male,2023-03-30,1
2023-03,Karnataka,Dakshina Kannada,Biometric,Female,2023-03-092023-03-01,2
2023-03,Karnataka,Dakshina Kannada,Mobile,Female,2023-03-26,1
2023-03,Karnataka,Dakshina Kannada,Mobile,Male,2023-03-192023-03-102023-03-14,3
2023-03,Karnataka,Dakshina Kannada,Name,Female,2023-03-04,1
2023-03,Karnataka,Kalaburagi,Address,Male,2023-03-28,1
2023-03,Karnataka,Kalaburagi,Biometric,Male,2023-03-14,1
2023-03,Karnataka,Kalaburagi,DOB,Male,2023-03-04,1
2023-03,Karnataka,Kalaburagi,Mobile,Male,2023-03-252023-03-312023-03-102023-03-222023-03-122023-03-06,6
2023-03,Karnataka,Mysore,Address,Male,2023-03-282023-03-30,2
2023-03,Karnataka,Mysore,Biometric,Male,2023-03-17,1
2023-03,Karnataka,Mysore,Mobile,Female,2023-03-03,1
2023-03,Karnataka,Mysore,Mobile,Male,2023-03-062023-03-112023-03-25,3
2023-03,Kerala,Ernakulam,Biometric,Female,2023-03-162023-03-192023-03-07,3
2023-03,Kerala,Ernakulam,Mobile,Male,2023-03-09,1
2023-03,Kerala,Kozhikode,Address,Female,2023-03-262023-03-242023-03-172023-03-16,4
2023-03,Kerala,Kozhikode,Biometric,Female,2023-03-012023-03-25,2
2023-03,Kerala,Kozhikode,Biometric,Male,2023-03-282023-03-092023-03-29,3
2023-03,Kerala,Kozhikode,Mobile,Female,2023-03-132023-03-21,2
2023-03,Kerala,Kozhikode,Mobile,Male,2023-03-052023-03-072023-03-29,3
2023-03,Kerala,Kozhikode,Name,Male,2023-03-24,1
2023-03,Kerala,Malappuram,Address,Male,2023-03-15,1
2023-03,Kerala,Malappuram,Biometric,Male,2023-03-11,1
2023-03,Kerala,Malappuram,DOB,Female,2023-03-02,1
2023-03,Kerala,Malappuram,Mobile,Female,2023-03-052023-03-11,2
2023-03,Kerala,Malappuram,Mobile,Male,2023-03-052023-03-05,2
2023-03,Kerala,Malappuram,Name,Female,2023-03-08,1
2023-03,Kerala,Thiruvananthapuram,Address,Female,2023-03-20,1
2023-03,Kerala,Thiruvananthapuram,Address,Male,2023-03-21,1
2023-03,Kerala,Thiruvananthapuram,Biometric,Female,2023-03-012023-03-232023-03-12,3
2023-03,Kerala,Thiruvananthapuram,Biometric,Male,2023-03-26,1
